sample	cnv	accession	n_cnvs	total_size	coverage_percent	span_percent	size_smallest	size_largest	std_regions_size	norm_depth_mean	norm_depth_median	smooth_depth_mean	smooth_depth_median	chrom_depth	chrom_norm_depth	genome_depth	chromosome	length	lineage	chrom_category_aneuploidy	chrom_category_size	strain	source	dataset	vni_subdivision	samples_in_dataset_lineage	samples_in_lineage	samples_in_sublineage	samples_in_lineage_source	total_samples
SRS404501	duplication	CP003826.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	137.64	1.01	135.9	chr07	1399503	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003826.1	4	51503	3.68	100	1503	36500	15943.85	0.11	0.03	0.08	0.03	137.64	1.01	135.9	chr07	1399503	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003827.1	1	2500	0.18	0.18	2500	2500	NA	1.21	1.22	1.63	1.63	138.3	1.02	135.9	chr08	1398693	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003827.1	3	70193	5.02	100	9193	33000	12553.06	0.08	0.01	0.04	0.01	138.3	1.02	135.9	chr08	1398693	VNI	Euploid	Small	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003828.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	141.56	1.04	135.9	chr09	1186808	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003828.1	3	49308	4.15	100	8000	25308	8662.23	0.1	0	0.04	0	141.56	1.04	135.9	chr09	1186808	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003829.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	141.04	1.04	135.9	chr10	1059964	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003829.1	3	18464	1.74	100	2500	9500	3510.24	0.09	0.01	0.05	0.02	141.04	1.04	135.9	chr10	1059964	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003830.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	131.14	0.96	135.9	chr11	1561994	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003830.1	6	74994	4.8	100	2000	29000	10162.72	0.15	0	0.07	0.01	131.14	0.96	135.9	chr11	1561994	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003831.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	145.21	1.07	135.9	chr12	774062	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003831.1	3	22562	2.91	100	62	12500	6579.23	0.13	0.03	0.06	0.04	145.21	1.07	135.9	chr12	774062	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003832.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	144.3	1.06	135.9	chr13	756744	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003832.1	4	52000	6.87	82.99	4500	27500	10303.72	0.21	0.04	0.12	0.08	144.3	1.06	135.9	chr13	756744	VNI	Euploid	Small	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	duplication	CP003833.2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	142.84	1.05	135.9	chr14	942867	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS404501	deletion	CP003833.2	2	15867	1.68	52.33	3367	12500	6458.01	0.2	0.02	0.08	0.04	142.84	1.05	135.9	chr14	942867	VNI	Euploid	Absent	Bt68	Clinical	Desjardins	VNIc	181	818	89	790	1016
SRS405114	duplication	CP003820.1	1	11000	0.48	0.48	11000	11000	NA	5.76	6.05	5.71	6.05	98.2	0.96	101.995	chr01	2291499	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003820.1	5	70999	3.1	100	5000	26499	10395.62	0.05	0	0.02	0	98.2	0.96	101.995	chr01	2291499	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003821.1	1	6500	0.4	0.4	6500	6500	NA	51.69	56.54	51.32	56.36	97.48	0.96	101.995	chr02	1621675	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003821.1	4	56675	3.49	100	500	52000	25232.03	0.11	0	0.04	0.01	97.48	0.96	101.995	chr02	1621675	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003822.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	100.9	0.99	101.995	chr03	1575141	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003822.1	4	32641	2.07	100	2641	13000	4420.26	0.04	0	0.04	0	100.9	0.99	101.995	chr03	1575141	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003823.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	104.66	1.03	101.995	chr04	1084805	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003823.1	3	40305	3.72	100	9805	20500	6119.25	0.29	0.01	0.07	0.01	104.66	1.03	101.995	chr04	1084805	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003824.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	100.56	0.99	101.995	chr05	1814975	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003824.1	4	34475	1.9	100	4975	17500	5954.53	0.11	0	0.08	0	100.56	0.99	101.995	chr05	1814975	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003825.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	102.32	1	101.995	chr06	1422463	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003825.1	4	29463	2.07	100	2000	18500	7686.64	0.27	0.02	0.07	0.02	102.32	1	101.995	chr06	1422463	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003826.1	1	4000	0.29	0.29	4000	4000	NA	1.96	1.95	1.61	1.61	105.22	1.03	101.995	chr07	1399503	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003826.1	4	42503	3.04	100	2003	27000	11145.04	0.12	0	0.07	0.02	105.22	1.03	101.995	chr07	1399503	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003827.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	103.27	1.01	101.995	chr08	1398693	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003827.1	6	69693	4.98	100	5000	20000	5494.27	0.12	0	0.07	0	103.27	1.01	101.995	chr08	1398693	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003828.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	105.05	1.03	101.995	chr09	1186808	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003828.1	3	46808	3.94	100	10000	25308	8438.46	0.07	0	0.03	0	105.05	1.03	101.995	chr09	1186808	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003829.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	104.07	1.02	101.995	chr10	1059964	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003829.1	4	33964	3.2	100	1500	21000	8595.44	0.16	0.01	0.08	0.04	104.07	1.02	101.995	chr10	1059964	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003830.1	1	3500	0.22	0.22	3500	3500	NA	1.92	1.97	1.71	1.71	97.73	0.96	101.995	chr11	1561994	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003830.1	6	82994	5.31	100	2000	35500	12326.83	0.16	0	0.07	0	97.73	0.96	101.995	chr11	1561994	VNI	Euploid	Small	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003831.1	1	6000	0.78	0.78	6000	6000	NA	2.85	2.97	1.94	2.01	109.28	1.07	101.995	chr12	774062	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003831.1	3	28500	3.68	20.02	8500	11000	1322.88	0.11	0	0.08	0	109.28	1.07	101.995	chr12	774062	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003832.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	106.1	1.04	101.995	chr13	756744	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003832.1	4	44744	5.91	100	7000	16744	4738.32	0.13	0.02	0.1	0.05	106.1	1.04	101.995	chr13	756744	VNI	Euploid	Small	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	duplication	CP003833.2	1	867	0.09	0.09	867	867	NA	0	0	1.89	1.89	105.84	1.04	101.995	chr14	942867	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS405114	deletion	CP003833.2	2	20500	2.17	49.79	500	20000	13788.58	0.25	0.09	0.16	0.21	105.84	1.04	101.995	chr14	942867	VNI	Euploid	Absent	Bt164	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003820.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	279.5	0.91	306.505	chr01	2291499	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003820.1	5	47500	2.07	99.85	6000	16000	4046.6	0.09	0	0.04	0.01	279.5	0.91	306.505	chr01	2291499	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003821.1	1	6500	0.4	0.4	6500	6500	NA	22.98	24.24	21.61	23.11	296.1	0.97	306.505	chr02	1621675	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003821.1	2	53175	3.28	48.26	1175	52000	35938.7	0.12	0.02	0.08	0.04	296.1	0.97	306.505	chr02	1621675	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003822.1	1	4000	0.25	0.25	4000	4000	NA	3.17	3.2	1.62	1.62	308.74	1.01	306.505	chr03	1575141	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003822.1	3	36641	2.33	100	3141	24500	11036.19	0.1	0	0.02	0	308.74	1.01	306.505	chr03	1575141	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003823.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	332.97	1.09	306.505	chr04	1084805	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003823.1	3	39305	3.62	100	8305	22000	7714.01	0.19	0.02	0.07	0.04	332.97	1.09	306.505	chr04	1084805	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003824.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	296.4	0.97	306.505	chr05	1814975	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003824.1	4	23475	1.29	100	3000	12000	4250.75	0.18	0.08	0.14	0.1	296.4	0.97	306.505	chr05	1814975	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003825.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	274.16	0.89	306.505	chr06	1422463	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003825.1	3	25963	1.83	100	2500	20000	9837.43	0.14	0.03	0.06	0.04	274.16	0.89	306.505	chr06	1422463	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003826.1	1	4000	0.29	0.29	4000	4000	NA	2.12	2.17	1.61	1.61	320.55	1.05	306.505	chr07	1399503	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003826.1	3	36503	2.61	100	1003	29000	14834.08	0.12	0.04	0.07	0.07	320.55	1.05	306.505	chr07	1399503	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003827.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	317.22	1.03	306.505	chr08	1398693	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003827.1	6	76193	5.45	100	5000	36500	12009.51	0.1	0.01	0.08	0.01	317.22	1.03	306.505	chr08	1398693	VNI	Euploid	Small	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003828.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	330.46	1.08	306.505	chr09	1186808	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003828.1	3	48808	4.11	100	3500	25308	11372.58	0.18	0	0.05	0	330.46	1.08	306.505	chr09	1186808	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003829.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	305	1	306.505	chr10	1059964	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003829.1	3	20464	1.93	100	1500	11500	5030.88	0.16	0.02	0.07	0.02	305	1	306.505	chr10	1059964	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003830.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	296.47	0.97	306.505	chr11	1561994	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003830.1	5	85494	5.47	100	7000	36500	12048.44	0.16	0.01	0.08	0.02	296.47	0.97	306.505	chr11	1561994	VNI	Euploid	Small	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003831.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	336.05	1.1	306.505	chr12	774062	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003831.1	3	28062	3.63	100	62	16000	8291.92	0.16	0.03	0.09	0.03	336.05	1.1	306.505	chr12	774062	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003832.1	1	7500	0.99	0.99	7500	7500	NA	2.3	2.26	2.01	2.03	335.16	1.09	306.505	chr13	756744	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003832.1	4	42000	5.55	99.84	2000	20500	7626.71	0.23	0.06	0.11	0.1	335.16	1.09	306.505	chr13	756744	VNI	Euploid	Small	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	duplication	CP003833.2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	329.97	1.08	306.505	chr14	942867	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS409059	deletion	CP003833.2	2	24367	2.58	52.33	8367	16000	5397.35	0.11	0.01	0.07	0.01	329.97	1.08	306.505	chr14	942867	VNI	Euploid	Absent	C8	Clinical	Desjardins	VNIa	181	818	683	790	1016
SRS404750	duplication	CP097938.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	153.37	0.96	160.12	chr01	2336104	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097938.1_R	4	35104	1.5	100	3500	17500	6400.89	0.17	0.01	0.06	0.01	153.37	0.96	160.12	chr01	2336104	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097939.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	153.2	0.96	160.12	chr02	1602777	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097939.1	5	99777	6.23	100	3500	55000	20323.77	0.09	0.01	0.06	0	153.2	0.96	160.12	chr02	1602777	VNBII	Euploid	Small	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097940.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	165.47	1.03	160.12	chr03	1103056	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097940.1	4	53556	4.86	100	10000	22556	6129.49	0.03	0	0.01	0	165.47	1.03	160.12	chr03	1103056	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097941.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	164.89	1.03	160.12	chr04	1094164	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097941.1	4	59664	5.45	100	4500	24164	8148.63	0.13	0.02	0.08	0.03	164.89	1.03	160.12	chr04	1094164	VNBII	Euploid	Small	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097942.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	156.68	0.98	160.12	chr05	1834975	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097942.1	4	26475	1.44	100	4000	11000	3197.35	0.05	0	0.06	0.02	156.68	0.98	160.12	chr05	1834975	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097943.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	161.14	1.01	160.12	chr06	1436071	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097943.1	2	17071	1.19	100	5071	12000	4899.54	0.16	0.02	0.13	0.02	161.14	1.01	160.12	chr06	1436071	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097944.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	162.47	1.01	160.12	chr07	1403885	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097944.1_R	5	43885	3.13	100	6500	11000	2016.47	0.05	0	0.03	0	162.47	1.01	160.12	chr07	1403885	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097945.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	161.8	1.01	160.12	chr08	1382508	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097945.1_R	5	43508	3.15	100	1000	14000	6381	0.22	0.08	0.15	0.21	161.8	1.01	160.12	chr08	1382508	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097946.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	165.11	1.03	160.12	chr09	1189418	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097946.1	6	26918	2.26	100	918	13500	4941.25	0.28	0.1	0.16	0.16	165.11	1.03	160.12	chr09	1189418	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097947.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	163.31	1.02	160.12	chr10	1078022	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097947.1_R	4	33522	3.11	100	5000	10000	2358.91	0.15	0.08	0.15	0.16	163.31	1.02	160.12	chr10	1078022	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097948.1_R	1	3000	0.14	0.14	3000	3000	NA	2.17	2.26	2.22	2.22	153.67	0.96	160.12	chr11	2090313	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097948.1_R	7	92813	4.44	100	4000	34000	10379.26	0.1	0	0.06	0	153.67	0.96	160.12	chr11	2090313	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097949.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	166.69	1.04	160.12	chr12	772085	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097949.1_R	3	38585	5	100	9500	19000	5323.99	0.17	0.07	0.14	0.15	166.69	1.04	160.12	chr12	772085	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097950.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	168.92	1.05	160.12	chr13	740623	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097950.1	5	55123	7.44	100	2623	23500	7647.24	0.21	0	0.08	0.01	168.92	1.05	160.12	chr13	740623	VNBII	Euploid	Small	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	duplication	CP097951.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	164.62	1.03	160.12	chr14	981499	VNBII	Euploid	Absent	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404750	deletion	CP097951.1_R	6	62499	6.37	100	1500	19500	7825.51	0.14	0.02	0.1	0.02	164.62	1.03	160.12	chr14	981499	VNBII	Euploid	Small	Bt31	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097938.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	133.34	0.92	145.01	chr01	2336104	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097938.1_R	3	40104	1.72	100	4500	25500	10873.83	0.07	0	0.04	0	133.34	0.92	145.01	chr01	2336104	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097939.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	134.32	0.93	145.01	chr02	1602777	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097939.1	6	105777	6.6	100	1500	58000	20765.44	0.12	0	0.05	0	134.32	0.93	145.01	chr02	1602777	VNBII	Euploid	Small	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097940.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	152.89	1.05	145.01	chr03	1103056	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097940.1	4	53056	4.81	100	10000	22056	5880.26	0.03	0	0.01	0	152.89	1.05	145.01	chr03	1103056	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097941.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	153.1	1.06	145.01	chr04	1094164	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097941.1	3	60664	5.54	100	16664	24500	3967.49	0.13	0.01	0.07	0.01	153.1	1.06	145.01	chr04	1094164	VNBII	Euploid	Small	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097942.1	1	7500	0.41	0.41	7500	7500	NA	6.04	6.12	5.74	6.11	139.2	0.96	145.01	chr05	1834975	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097942.1	3	22975	1.25	100	4000	11000	3510.73	0.05	0	0.04	0.01	139.2	0.96	145.01	chr05	1834975	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097943.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	146.09	1.01	145.01	chr06	1436071	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097943.1	3	13571	0.95	100	71	12500	6923.31	0.11	0.01	0.08	0.01	146.09	1.01	145.01	chr06	1436071	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097944.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	147.32	1.02	145.01	chr07	1403885	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097944.1_R	4	34885	2.48	100	3500	11000	3510.58	0.12	0	0.03	0	147.32	1.02	145.01	chr07	1403885	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097945.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	147.84	1.02	145.01	chr08	1382508	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097945.1_R	4	52008	3.76	100	4000	30500	11922.7	0.18	0.01	0.09	0.01	147.84	1.02	145.01	chr08	1382508	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097946.1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	150.73	1.04	145.01	chr09	1189418	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097946.1	3	20418	1.72	100	918	14500	6968.78	0.28	0.07	0.15	0.07	150.73	1.04	145.01	chr09	1189418	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097947.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	151.5	1.04	145.01	chr10	1078022	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	deletion	CP097947.1_R	4	35022	3.25	100	4000	13522	3892.7	0.27	0.06	0.17	0.13	151.5	1.04	145.01	chr10	1078022	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
SRS404472	duplication	CP097948.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	137.41	0.95	145.01	chr11	2090313	VNBII	Euploid	Absent	Bt103	Clinical	Desjardins		62	62	198	59	1016
