sample,name,mating_type,country_of_origin_x,isolation_source,broad_project,sra_accession_x,strain_description,in_gwas,phenotyped,source_x,dataset,species_id_from_mash_anlaysis_x,study_x,hiv_status_x,continent_of_origin_x,year_of_origin_x,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_x,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_x,source_y,vni_subdivision,lab_id,species_id_from_mash_anlaysis_y,study_y,hiv_status_y,sra_accession_y,country_of_origin_y,continent_of_origin_y,year_of_origin_y,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_y,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_y,strain,lineage
SRS404492,Cryptococcus_neoformans var. grubii_MW-RSA4119,α,S. Africa,Clinical,G26040,"SRX255633, SRX256474",Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,MW-RSA4119,VNII
SRS404493,Cryptococcus_neoformans_Bt2,α,Botswana ,CSF /HIV+ ,G26135,SRX255634,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797768,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797768,Botswana,Africa,,41.644,0.964093203,Bt2,VNI
SRS404494,Cryptococcus_neoformans var. grubii_Tu241-1,α,Botswana ,Mopane tree,G25982,"SRX255635, SRX256357",Litvintseva et al 2011 PLoS One,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIa-outlier,SRR797778,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR797778,Botswana,Africa,2007.0,45.1677,0.962799491,Tu241-1,VNI
SRS404495,Cryptococcus_neoformans var. grubii_Bt75,α,Botswana ,CSF /HIV+ ,G25980,"SRX256015, SRX272108, SRX255637",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt75,VNBII
SRS404496,Cryptococcus_neoformans var. grubii_29593,α,USA,pigeon guano,G26305,"SRX256003, SRX255639, SRX256020",Litvintseva et al 2006 Genetics,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIb,SRR798211,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR798211,USA,North America,,46.9717,0.971878629,A3-1-1,VNI
SRS404498,Cryptococcus_neoformans var. grubii_LP-RSA116,α,S. Africa,Clinical,G25989,"SRX255652, SRX255640",Litvintseva et al 2011 PLoS One,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797791,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797791,S. Africa,Africa,2006.0,45.277,0.966380565,LP-RSA116,VNI
SRS404499,Cryptococcus_neoformans var. grubii_Bt25,α,Botswana ,CSF /HIV+ ,G26312,"SRX255642, SRX256531, SRX256396",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt25,VNBII
SRS404501,Cryptococcus_neoformans_Bt68,α,Botswana ,CSF /HIV+ ,G26285,"SRX255645, SRX256065, SRX256063","Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797782,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797782,Botswana,Africa,2000.0,49.1166,0.963416425,Bt68,VNI
SRS404503,Cryptococcus_neoformans var. grubii_Bt107,α,Botswana ,CSF /HIV+ ,G26147,SRX255648,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-32,SRR797785,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797785,Botswana,Africa,,42.171,0.966167942,Bt107,VNI
SRS404505,Cryptococcus_neoformans var. grubii_LP-RSA1343,α,S. Africa,Clinical,G25996,"SRX255650, SRX256471",Litvintseva et al 2011 PLoS One,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797789,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797789,S. Africa,Africa,2006.0,44.1352,0.965363125,LP-RSA1343,VNI
SRS404506,Cryptococcus_neoformans var. grubii_Bt102,α,Botswana ,CSF /HIV+ ,G26315,"SRX255653, SRX272107, SRX256517, SRX345121",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt102,VNBI
SRS404507,Cryptococcus_neoformans var. grubii_Bt150,α,Botswana ,CSF /HIV+ ,G26306,"SRX255654, SRX256512, SRX255972","Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797793,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797793,Botswana,Africa,2001.0,54.2473,0.96550861,Bt150,VNI
SRS404508,Cryptococcus_neoformans var. grubii_Bt123,α,Botswana ,CSF /HIV+ ,G26165,SRX255655,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797794,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797794,Botswana,Africa,,45.4107,0.964323641,Bt123,VNI
SRS404511,Cryptococcus_neoformans_Bt19,α,Botswana ,CSF /HIV+ ,G26133,SRX255658,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797799,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797799,Botswana,Africa,,47.7206,0.965988412,Bt19,VNI
SRS404512,Cryptococcus_neoformans var. grubii_Bt160,α,Botswana ,CSF /HIV+ ,G26154,SRX255659,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR797800,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797800,Botswana,Africa,,43.9625,0.964040443,Bt160,VNI
SRS404513,Cryptococcus_neoformans_MW-RSA722,α,S. Africa,Clinical,G26286,"SRX256408, SRX255660, SRX256469",Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIb,SRR798677,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798677,S. Africa,Africa,,40.6084,0.966611426,MW-RSA722,VNI
SRS404514,Cryptococcus_neoformans_Bt7,α,Botswana ,CSF /HIV+ ,G26287,"SRX256449, SRX256533, SRX255663",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt7,VNBI
SRS404516,Cryptococcus_neoformans var. grubii_Bt49,α,Botswana ,CSF /HIV+ ,G26042,"SRX255667, SRX256515",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIb,SRR797808,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797808,Botswana,Africa,,40.3455,0.971498953,Bt49,VNI
SRS404517,Cryptococcus_neoformans var. grubii_Bt100,α,Botswana ,CSF /HIV+ ,G26313,"SRX256049, SRX256462, SRX255668","Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798270,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798270,Botswana,Africa,2001.0,47.5707,0.964694225,Bt100,VNI
SRS404518,Cryptococcus_neoformans var. grubii_Bt134,α,Botswana ,CSF /HIV+ ,G26153,SRX255669,"Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-5,SRR797810,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR797810,Botswana,Africa,2001.0,45.3592,0.965659486,Bt134,VNI
SRS404735,Cryptococcus_neoformans var. grubii_Bt22,α,Botswana ,CSF /HIV+ ,G26308,"SRX255940, SRX255942, SRX256376",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt22,VNBI
SRS404739,Cryptococcus_neoformans var. grubii_Bt40,α,Botswana ,CSF /HIV+ ,G25969,"SRX256029, SRX255946",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt40,VNBII
SRS404740,Cryptococcus_neoformans var. grubii_LP-RSA2296,α,S. Africa,Clinical,G25967,"SRX255953, SRX255947, SRX256002",Litvintseva et al 2011 PLoS One,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-outlier,SRR798138,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798138,S. Africa,Africa,2006.0,41.3352,0.964601922,LP-RSA2296,VNI
SRS404741,Cryptococcus_neoformans_Bt45,α,Botswana ,CSF /HIV+ ,G26298,"SRX256409, SRX255989, SRX255949",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt45,VNBI
SRS404743,Cryptococcus_neoformans var. grubii_Bt34,α,Botswana ,CSF /HIV+ ,G25986,"SRX255950, SRX256497, SRX256438","Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt34,VNBII
SRS404746,Cryptococcus_neoformans var. grubii_Bt33,α,Botswana ,CSF /HIV+ ,G25978,"SRX256430, SRX255955",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt33,VNBII
SRS404745,Cryptococcus_neoformans_Bt18,α,Botswana ,CSF /HIV+ ,G26129,SRX255956,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-Y,SRR798140,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798140,Botswana,Africa,,48.896,0.964124499,Bt18,VNI
SRS404750,Cryptococcus_neoformans var. grubii_Bt31,α,Botswana ,CSF /HIV+ ,G25968,"SRX255961, SRX255966, SRX256066",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt31,VNBII
SRS404759,Cryptococcus_neoformans var. grubii_Bt93,α,Botswana ,CSF /HIV+ ,G26039,"SRX256514, SRX255969",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798915,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798915,Botswana,Africa,,39.6669,0.961655122,Bt93,VNI
SRS404753,Cryptococcus_neoformans var. grubii_Bt6,α,Botswana ,CSF /HIV+ ,G26024,"SRX256417, SRX255970",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-Y,SRR798697,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798697,Botswana,Africa,,45.1451,0.963570897,Bt6,VNI
SRS404766,Cryptococcus_neoformans var. grubii_Bt126,α,Botswana ,CSF /HIV+ ,G26169,SRX255973,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798161,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798161,Botswana,Africa,,44.5963,0.964958973,Bt126,VNI
SRS404755,Cryptococcus_neoformans var. grubii_Bt84,α,Botswana ,CSF /HIV+ ,G25992,"SRX255974, SRX255986",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt84,VNBII
SRS404756,Cryptococcus_neoformans_Bt20,α,Botswana ,CSF /HIV+ ,G26137,SRX255975,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798163,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798163,Botswana,Africa,,43.9205,0.966372899,Bt20,VNI
SRS404760,Cryptococcus_neoformans_Bt132,α,Botswana ,CSF /HIV+ ,G26121,SRX255981,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-4,SRR798175,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798175,Botswana,Africa,,44.0037,0.962751754,Bt132,VNI
SRS404761,Cryptococcus_neoformans var. grubii_MW-RSA606,α,S. Africa,Clinical,G26051,"SRX256499, SRX255982",Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIb,SRR798870,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798870,S. Africa,Africa,,32.569,0.977150431,MW-RSA606,VNI
SRS404775,Cryptococcus_neoformans var. grubii_Bt156,α,Botswana ,CSF /HIV+ ,G26150,SRX255984,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798180,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798180,Botswana,Africa,,45.1318,0.963384283,Bt156,VNI
SRS404765,Cryptococcus_neoformans var. grubii_Bt56,α,Botswana ,CSF /HIV+ ,G25975,"SRX256397, SRX256507, SRX255991",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt56,VNBII
SRS404772,Cryptococcus_neoformans var. grubii_Bt141,α,Botswana ,CSF /HIV+ ,G26166,SRX255992,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-5,SRR798191,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798191,Botswana,Africa,,40.9751,0.964943219,Bt141,VNI
SRS404773,Cryptococcus_neoformans var. grubii_Bt119,α,Botswana ,CSF /HIV+ ,G26157,SRX255995,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-93,SRR798197,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798197,Botswana,Africa,,46.709,0.966061049,Bt119,VNI
SRS404786,Cryptococcus_neoformans var. grubii_Bt72,α,Botswana ,CSF /HIV+ ,G26031,"SRX256526, SRX256007",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798959,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798959,Botswana,Africa,,42.0309,0.965930578,Bt72,VNI
SRS404777,Cryptococcus_neoformans var. grubii_Bt78,α,Botswana ,CSF /HIV+ ,G26043,"SRX256358, SRX256008",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798589,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798589,Botswana,Africa,,40.1478,0.963933498,Bt78,VNI
SRS404792,Cryptococcus_neoformans var. grubii_Bt87,α,Botswana ,CSF /HIV+ ,G26025,"SRX256030, SRX256009",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798238,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798238,Botswana,Africa,,40.7923,0.964663299,Bt87,VNI
SRS404778,Cryptococcus_neoformans var. grubii_Bt88,a,Botswana ,CSF /HIV+ ,G25995,"SRX256010, SRX272109, SRX256352","Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt88,VNBII
SRS404779,Cryptococcus_neoformans_Bt46,α,Botswana ,CSF /HIV+ ,G26300,"SRX256501, SRX256011, SRX256538",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt46,VNBII
SRS404780,Cryptococcus_neoformans var. grubii_Bt114,α,Botswana ,CSF /HIV+ ,G26140,SRX256012,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798220,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798220,Botswana,Africa,,37.7035,0.96473049,Bt114,VNI
SRS404781,Cryptococcus_neoformans var. grubii_Bt52,α,Botswana ,CSF /HIV+ ,G25987,"SRX256371, SRX256013",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt52,VNBII
SRS404782,Cryptococcus_neoformans_Bt44,α,Botswana ,CSF /HIV+ ,G26130,SRX256014,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798222,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798222,Botswana,Africa,,40.1344,0.964456491,Bt44,VNI
SRS404783,Cryptococcus_neoformans var. grubii_Bt214,α,Botswana ,CSF /HIV+ ,G26029,"SRX256366, SRX256016",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798599,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798599,Botswana,Africa,,40.1937,0.963519988,Bt214,VNI
SRS404784,Cryptococcus_neoformans var. grubii_Bt38,α,Botswana ,CSF /HIV+ ,G25993,"SRX256017, SRX256416",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt38,VNBII
SRS404785,Cryptococcus_neoformans var. grubii_Bt207,α,Botswana ,CSF /HIV+ ,G26035,"SRX256393, SRX256018",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798661,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798661,Botswana,Africa,,47.149,0.965160494,Bt207,VNI
SRS404789,Cryptococcus_neoformans var. grubii_Bt53,α,Botswana ,CSF /HIV+ ,G25991,"SRX256021, SRX256056, SRX404421",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt53,VNBII
SRS404788,Cryptococcus_neoformans var. grubii_Bt129,α,Botswana ,CSF /HIV+ ,G26145,SRX256022,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798230,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798230,Botswana,Africa,,44.7458,0.964254177,Bt129,VNI
SRS404791,Cryptococcus_neoformans var. grubii_Bt79,α,Botswana ,CSF /HIV+ ,G26049,"SRX256028, SRX256547",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798236,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798236,Botswana,Africa,,39.8448,0.964182227,Bt79,VNI
SRS404793,Cryptococcus_neoformans var. grubii_MW-RSA6134,α,S. Africa,Clinical,G26056,"SRX256033, SRX256450",Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIb,SRR798242,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798242,S. Africa,Africa,,37.7045,0.966929356,MW-RSA6134,VNI
SRS404795,Cryptococcus_neoformans_MW-RSA82,α,S. Africa,Clinical,G26128,SRX256034,Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIb,SRR798243,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798243,S. Africa,Africa,,47.7587,0.97247833,MW-RSA82,VNI
SRS404794,Cryptococcus_neoformans_Bt202,α,Botswana ,CSF /HIV+ ,G26122,SRX256037,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798246,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798246,Botswana,Africa,,46.5034,0.964767178,Bt202,VNI
SRS404797,Cryptococcus_neoformans_C2,α,USA,Clinical,G26125,SRX256039,Litvintseva et al 2006 Genetics,No,No,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,C2,VNII
SRS404800,Cryptococcus_neoformans var. grubii_Bt24,a,Botswana ,CSF /HIV+ ,G26310,"SRX256530, SRX256520, SRX256042","Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics",Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt24,VNBI
SRS404808,Cryptococcus_neoformans var. grubii_Bt81,a,Botswana ,CSF /HIV+ ,G25988,"SRX256380, SRX256047",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt81,VNBII
SRS404803,Cryptococcus_neoformans var. grubii_MW-RSA1869,α,S. Africa,Clinical,G26033,"SRX256048, SRX256394",Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIb,SRR798269,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798269,S. Africa,Africa,,47.8852,0.972345533,MW-RSA1869,VNI
SRS404805,Cryptococcus_neoformans var. grubii_Bt39,α,Botswana ,CSF /HIV+ ,G25965,"SRX256051, SRX256385",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt39,VNBII
SRS404807,Cryptococcus_neoformans var. grubii_Bt28,α,Botswana ,CSF /HIV+ ,G26041,"SRX256053, SRX256370",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-32,SRR798275,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798275,Botswana,Africa,,44.2231,0.966401817,Bt28,VNI
SRS404809,Cryptococcus_neoformans var. grubii_Bt209,α,Botswana ,CSF /HIV+ ,G26046,"SRX256424, SRX256054",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798708,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798708,Botswana,Africa,,40.0279,0.963655163,Bt209,VNI
SRS404810,Cryptococcus_neoformans var. grubii_Bt5,α,Botswana ,CSF /HIV+ ,G25979,"SRX256355, SRX256055",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt5,VNBII
SRS404812,Cryptococcus_neoformans var. grubii_Bt161,α,Botswana ,CSF /HIV+ ,G26159,SRX256058,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798282,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798282,Botswana,Africa,,42.7103,0.96427067,Bt161,VNI
SRS404813,Cryptococcus_neoformans var. grubii_LP-RSA848,α,S. Africa,Clinical,G26026,"SRX256059, SRX256542",Litvintseva et al 2011 PLoS One,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798283,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798283,S. Africa,Africa,2006.0,44.4392,0.965514689,LP-RSA848,VNI
SRS405098,Cryptococcus_neoformans_Bt17,α,Botswana ,CSF /HIV+ ,G26126,SRX256353,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798584,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798584,Botswana,Africa,,55.2906,0.965264162,Bt17,VNI
SRS405099,Cryptococcus_neoformans var. grubii_36362,α,USA,pigeon guano,G26160,SRX256356,"Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics",No,No,Environment,Desjardins,,,,,,,,Environmental,VNIb,SRR798587,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR798587,USA,North America,,45.4745,0.972476744,A3-38-20,VNI
SRS405101,Cryptococcus_neoformans var. grubii_T4,α,USA,oak tree,G26062,"SRX256361, SRX256495",This study,No,No,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,T4,VNII
SRS405102,Cryptococcus_neoformans var. grubii_MW-RSA5387,α,S. Africa,Clinical,G26045,"SRX256423, SRX256373",Van Wyk et al  2014 J. Clin. Microbiol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-X,SRR798703,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798703,S. Africa,Africa,,38.6733,0.962564929,MW-RSA5387,VNI
SRS405107,Cryptococcus_neoformans var. grubii_Bt153,α,Botswana ,CSF /HIV+ ,G26142,SRX256377,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798633,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798633,Botswana,Africa,,38.9169,0.963459299,Bt153,VNI
SRS405109,Cryptococcus_neoformans var. grubii_Bt92,α,Botswana ,CSF /HIV+ ,G25976,"SRX256480, SRX256383",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-5,SRR798819,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798819,Botswana,Africa,,42.0788,0.965086007,Bt92,VNI
SRS405110,Cryptococcus_neoformans var. grubii_C27,α,USA,CSF/cancer,G26050,"SRX256527, SRX256384","Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics",No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-32,SRR798960,Cryptococcus neoformans var. grubii H99,Desjardins,negative,SRR798960,USA,North America,2001.0,37.8231,0.965228848,C27,VNI
SRS405111,Cryptococcus_neoformans var. grubii_Bt83,α,Botswana ,CSF /HIV+ ,G26018,"SRX256420, SRX256387",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798700,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798700,Botswana,Africa,,39.5172,0.963734514,Bt83,VNI
SRS405113,Cryptococcus_neoformans var. grubii_Bt137,α,Botswana ,CSF /HIV+ ,G26158,SRX256392,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798659,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798659,Botswana,Africa,,43.1777,0.964344258,Bt137,VNI
SRS405114,Cryptococcus_neoformans_Bt164,α,Botswana ,CSF /HIV+ ,G26123,SRX256395,Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-4,SRR798663,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798663,Botswana,Africa,,46.299,0.963329568,Bt164,VNI
SRS405116,Cryptococcus_neoformans var. grubii_33519,α,USA,pigeon guano,G26164,SRX256399,Litvintseva et al 2006 Genetics,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIb,SRR798667,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR798667,USA,North America,,46.8508,0.972429958,A4-1-12,VNI
SRS405118,Cryptococcus_neoformans var. grubii_Bt30,α,Botswana ,CSF /HIV+ ,G26058,"SRX256401, SRX256540",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR798668,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR798668,Botswana,Africa,,42.9783,0.962077249,Bt30,VNI
SRS405119,Cryptococcus_neoformans var. grubii_Bt90,α,Botswana ,CSF /HIV+ ,G26032,"SRX256548, SRX256402",Litvintseva et al 2003 Euk. Cell,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR799041,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR799041,Botswana,Africa,,41.0846,0.964602187,Bt90,VNI
SRS405120,Cryptococcus_neoformans_Bt70,a,Botswana ,CSF /HIV+ ,G26290,"SRX256415, SRX256490, SRX256505",Litvintseva et al 2003 Euk. Cell,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,Bt70,VNBI
