sample,lineage,strain,name,Species ID from mash anlaysis,VNI_subdivision,source,Study,HIV status,SRA_Accession,Country_of_origin,Continent of Origin,Year of Origin,Mean depth of mapping with MQ > 30 across whole genome,Proportion of genome covered by at least 5 reads which mapped with MQ > 30
ERS2541054,VNI,04CN-63-002,04CN-63-002,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624245,Malawi,Africa,2014.0,47.51897993,0.991401655
ERS2540936,VNI,04CN-63-006,04CN-63-006,Cryptococcus gattii WM276,,Clinical,Ashton,positive,ERR2624156,Uganda,Africa,2014.0,30.81148305,0.611245304
ERS2540944,VNI,04CN-63-007,04CN-63-007,Cryptococcus neoformans var. grubii H99,VNIa-X,Clinical,Ashton,positive,ERR2624448,Malawi,Africa,2014.0,57.6576879,0.988354415
ERS2540970,VNI,04CN-63-008,04CN-63-008,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624493,Malawi,Africa,2014.0,42.7276478,0.990532837
ERS2540956,VNI,04CN-63-009,04CN-63-009,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624265,Malawi,Africa,2014.0,38.72283714,0.987685161
ERS2540971,VNI,04CN-63-012,04CN-63-012,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624238,Malawi,Africa,2014.0,34.61193023,0.985387688
ERS2540955,VNI,04CN-63-019,04CN-63-019,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR2624249,Malawi,Africa,2014.0,36.2556135,0.990157001
ERS2540975,VNI,04CN-63-020,04CN-63-020,Cryptococcus gattii WM276,,Clinical,Ashton,positive,ERR2624413,Uganda,Africa,2014.0,31.9762664,0.604924369
ERS2541070,VNI,04CN-63-021,04CN-63-021,Cryptococcus gattii WM276,,Clinical,Ashton,positive,ERR2624263,Uganda,Africa,2014.0,30.48923464,0.60226604
ERS2540998,VNI,04CN-63-022,04CN-63-022,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624284,Malawi,Africa,2014.0,40.62851579,0.98861713
ERS2540952,VNI,04CN-63-023,04CN-63-023,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624308,Malawi,Africa,2014.0,40.89399918,0.987646572
ERS2540979,VNI,04CN-63-024,04CN-63-024,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624421,Malawi,Africa,2014.0,46.81614761,0.988897366
ERS2540974,VNI,04CN-63-033,04CN-63-033,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624233,Malawi,Africa,2014.0,33.84106853,0.989778253
ERS2541305,VNI,04CN-63-036,04CN-63-036,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR2624319,Malawi,Africa,2014.0,49.20097444,0.987907593
ERS2540965,VNI,04CN-63-037,04CN-63-037,Cryptococcus neoformans var. grubii H99,VNIa-X,Clinical,Ashton,positive,ERR2624236,Malawi,Africa,2014.0,34.96692072,0.985774482
ERS2541075,VNI,04CN-64-001,04CN-64-001,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624499,Uganda,Africa,2013.0,38.47707543,0.987648318
ERS2541037,VNI,04CN-64-002,04CN-64-002,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624222,Uganda,Africa,2013.0,38.13719943,0.990686613
ERS2541020,VNI,04CN-64-006,04CN-64-006,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624127,Uganda,Africa,2013.0,34.26434715,0.985593975
ERS2541067,VNI,04CN-64-007,04CN-64-007,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624463,Uganda,Africa,2013.0,46.36245223,0.989959395
ERS2541022,VNI,04CN-64-008,04CN-64-008,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624115,Uganda,Africa,2013.0,33.16557837,0.987986889
ERS2540980,VNI,04CN-64-011,04CN-64-011,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624369,Uganda,Africa,2013.0,41.65131784,0.989700015
ERS2540993,VNI,04CN-64-014,04CN-64-014,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624159,Uganda,Africa,2013.0,44.7348899,0.989867448
ERS2541006,VNI,04CN-64-019,04CN-64-019,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624429,Uganda,Africa,2013.0,36.21372038,0.993632112
ERS2540951,VNI,04CN-64-024,04CN-64-024,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624384,Uganda,Africa,2013.0,40.68027662,0.98796725
ERS2540988,VNI,04CN-64-027,04CN-64-027,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624192,Uganda,Africa,2013.0,53.59303131,0.988935373
ERS2541038,VNI,04CN-64-028,04CN-64-028,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624288,Uganda,Africa,2013.0,70.26192687,0.990378109
ERS2541005,VNI,04CN-64-029,04CN-64-029,Cryptococcus neoformans var. grubii H99,VNIa-outlier,Clinical,Ashton,positive,ERR2624216,Uganda,Africa,2013.0,36.94674767,0.990200936
ERS2540989,VNI,04CN-64-030,04CN-64-030,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624447,Uganda,Africa,2013.0,54.60461788,0.989321109
ERS2541008,VNI,04CN-64-032,04CN-64-032,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624442,Uganda,Africa,2013.0,60.20382662,0.990189397
ERS2540994,VNI,04CN-64-033,04CN-64-033,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624280,Uganda,Africa,2013.0,48.46192906,0.989314386
ERS2540999,VNI,04CN-64-037,04CN-64-037,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624231,Uganda,Africa,2013.0,41.12937282,0.99084891
ERS2540968,VNI,04CN-64-039,04CN-64-039,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624131,Uganda,Africa,2013.0,54.47305329,0.988985344
ERS2540960,VNI,04CN-64-041,04CN-64-041,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624371,Uganda,Africa,2013.0,54.77766296,0.990110048
ERS2541336,VNI,04CN-64-042,04CN-64-042,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624173,Uganda,Africa,2013.0,44.80261887,0.989110693
ERS2540934,VNI,04CN-64-046,04CN-64-046,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624490,Uganda,Africa,2013.0,47.41695673,0.989314756
ERS2540966,VNI,04CN-64-047,04CN-64-047,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624324,Uganda,Africa,2013.0,51.15777225,0.989973
ERS2540961,VNI,04CN-64-048,04CN-64-048,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624286,Uganda,Africa,2013.0,43.12404563,0.989826476
ERS2540922,VNI,04CN-64-053,04CN-64-053,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624186,Uganda,Africa,2013.0,57.33058886,0.987981648
ERS2541031,VNI,04CN-64-059,04CN-64-059,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624148,Uganda,Africa,2013.0,68.80680045,0.990681319
ERS2541063,VNI,04CN-64-061,04CN-64-061,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624501,Uganda,Africa,2013.0,31.02710025,0.987314459
ERS2540987,VNI,04CN-64-064,04CN-64-064,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624226,Uganda,Africa,2013.0,31.47683421,0.987415935
ERS2540972,VNI,04CN-64-065,04CN-64-065,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR2624485,Uganda,Africa,2013.0,34.7177471,0.989172521
ERS2541039,VNI,04CN-64-067,04CN-64-067,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624399,Uganda,Africa,2013.0,55.3179012,0.989433912
ERS2540941,VNI,04CN-64-068,04CN-64-068,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624307,Uganda,Africa,2013.0,41.75600154,0.98760777
ERS2541045,VNI,04CN-64-069,04CN-64-069,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624209,Uganda,Africa,2013.0,30.59601339,0.987271
ERS2541044,VNI,04CN-64-074,04CN-64-074,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624414,Uganda,Africa,2013.0,47.58554084,0.988050728
ERS2541064,VNI,04CN-64-075,04CN-64-075,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624174,Uganda,Africa,2013.0,73.4810432,0.990878342
ERS2541313,VNI,04CN-64-076,04CN-64-076,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624262,Uganda,Africa,2013.0,55.70925955,0.989840239
ERS2541041,VNI,04CN-64-077,04CN-64-077,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624400,Uganda,Africa,2013.0,61.5132652,0.990400077
ERS2541066,VNI,04CN-64-078,04CN-64-078,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624360,Uganda,Africa,2013.0,75.510657,0.990385202
ERS2540977,VNI,04CN-64-080,04CN-64-080,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624292,Uganda,Africa,2014.0,52.0827682,0.990126934
ERS2541308,VNI,04CN-64-081,04CN-64-081,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624191,Uganda,Africa,2014.0,86.76927683,0.989372614
ERS2541061,VNI,04CN-64-088,04CN-64-088,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624166,Uganda,Africa,2014.0,58.97153615,0.989954261
ERS2541073,VNI,04CN-64-089,04CN-64-089,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624208,Uganda,Africa,2014.0,58.79934375,0.990320622
ERS2541317,VNI,04CN-64-090,04CN-64-090,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624122,Uganda,Africa,2014.0,62.77992623,0.991574061
ERS2541050,VNI,04CN-64-092,04CN-64-092,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,,Clinical,Ashton,positive,ERR2624285,Uganda,Africa,2014.0,32.87123645,0.969851772
ERS2541017,VNI,04CN-64-093,04CN-64-093,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624306,Uganda,Africa,2014.0,50.79957089,0.987686537
ERS2541052,VNI,04CN-64-097,04CN-64-097,Cryptococcus neoformans var. grubii H99,VNIa-outlier,Clinical,Ashton,positive,ERR2624270,Uganda,Africa,2014.0,59.77162914,0.985862936
ERS2541021,VNI,04CN-64-099,04CN-64-099,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624352,Uganda,Africa,2014.0,44.30735206,0.98791908
ERS2540933,VNI,04CN-64-100,04CN-64-100,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624142,Uganda,Africa,2014.0,52.14119558,0.98952766
ERS2540969,VNI,04CN-64-101,04CN-64-101,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624425,Uganda,Africa,2014.0,67.66918532,0.990352436
ERS2540984,VNI,04CN-64-105,04CN-64-105,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624240,Uganda,Africa,2014.0,60.4805317,0.989817266
ERS2541030,VNI,04CN-64-116,04CN-64-116,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624300,Uganda,Africa,2014.0,36.24020024,0.983777785
ERS2540932,VNI,04CN-64-117,04CN-64-117,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624385,Uganda,Africa,2014.0,49.79139004,0.989935416
ERS2541009,VNI,04CN-64-127,04CN-64-127,Cryptococcus neoformans var. grubii H99,VNIa-outlier,Clinical,Ashton,positive,ERR2624466,Uganda,Africa,2014.0,31.15428666,0.988213661
ERS2541018,VNI,04CN-64-128,04CN-64-128,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624225,Uganda,Africa,2014.0,120.3731553,0.992238182
ERS2541000,VNI,04CN-64-129,04CN-64-129,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624193,Uganda,Africa,2014.0,58.53701966,0.990519233
ERS2540958,VNI,04CN-64-134,04CN-64-134,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624438,Uganda,Africa,2014.0,65.95975019,0.990327398
ERS2541032,VNI,04CN-64-136,04CN-64-136,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624497,Uganda,Africa,2014.0,47.65962515,0.991689831
ERS2541068,VNI,04CN-64-138,04CN-64-138,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624446,Uganda,Africa,2014.0,56.87695039,0.990202736
ERS2541028,VNI,04CN-64-150,04CN-64-150,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624465,Uganda,Africa,2014.0,48.5317156,0.98919073
ERS2540986,VNI,04CN-65-001,04CN-65-001,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624214,Uganda,Africa,2013.0,55.93431087,0.989700015
ERS2541065,VNI,04CN-65-002,04CN-65-002,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624469,Uganda,Africa,2013.0,45.39924376,0.989312163
ERS2540995,VNI,04CN-65-003,04CN-65-003,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624403,Uganda,Africa,2013.0,67.50155133,0.989747921
ERS2541034,VNI,04CN-65-004,04CN-65-004,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624353,Uganda,Africa,2013.0,59.18598158,0.990761303
ERS2540926,VNI,04CN-65-005,04CN-65-005,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624217,Uganda,Africa,2013.0,59.248596,0.989389659
ERS2540973,VNI,04CN-65-006,04CN-65-006,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624317,Uganda,Africa,2013.0,43.8331757,0.986407264
ERS2540985,VNI,04CN-65-007,04CN-65-007,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624476,Uganda,Africa,2013.0,57.10519918,0.989941292
ERS2540983,VNI,04CN-65-008,04CN-65-008,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624294,Uganda,Africa,2013.0,63.47934167,0.99037578
ERS2541033,VNI,04CN-65-010,04CN-65-010,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624268,Uganda,Africa,2013.0,40.34083861,0.986055036
ERS2540963,VNI,04CN-65-013,04CN-65-013,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624277,Uganda,Africa,2013.0,37.0688045,0.987653506
ERS2541329,VNI,04CN-65-016,04CN-65-016,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624109,Uganda,Africa,2013.0,53.08259087,0.989040766
ERS2540991,VNI,04CN-65-017,04CN-65-017,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624253,Uganda,Africa,2013.0,37.09319226,0.988231659
ERS2541069,VNI,04CN-65-018,04CN-65-018,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624272,Uganda,Africa,2013.0,54.08285173,0.991876162
ERS2541321,VNI,04CN-65-019,04CN-65-019,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,,Clinical,Ashton,positive,ERR2624434,Uganda,Africa,2013.0,78.89386159,0.978026827
ERS2541057,VNI,04CN-65-023,04CN-65-023,Cryptococcus neoformans var. grubii H99,VNIa-outlier,Clinical,Ashton,positive,ERR2624237,Uganda,Africa,2013.0,70.22522908,0.989874435
ERS2541040,VNI,04CN-65-024,04CN-65-024,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624484,Uganda,Africa,2013.0,52.03906889,0.989447781
ERS2540964,VNI,04CN-65-027,04CN-65-027,Cryptococcus neoformans var. grubii H99,VNIa-X,Clinical,Ashton,positive,ERR2624331,Uganda,Africa,2013.0,61.13074468,0.987905846
ERS2541046,VNI,04CN-65-030,04CN-65-030,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624184,Uganda,Africa,2013.0,49.96940214,0.989905508
ERS2541042,VNI,04CN-65-031,04CN-65-031,Cryptococcus neoformans var. grubii H99,VNII,Clinical,Ashton,positive,ERR2624151,Uganda,Africa,2013.0,31.24886406,0.963734106
ERS2541051,VNI,04CN-65-032,04CN-65-032,Cryptococcus neoformans var. grubii H99,VNIa-X,Clinical,Ashton,positive,ERR2624171,Uganda,Africa,2013.0,59.39387703,0.984599808
ERS2541001,VNI,04CN-65-035,04CN-65-035,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624361,Uganda,Africa,2013.0,65.00757686,0.990548771
ERS2541029,VNI,04CN-65-038,04CN-65-038,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624358,Uganda,Africa,2013.0,88.39955253,0.991354384
ERS2540924,VNI,04CN-65-040,04CN-65-040,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624492,Uganda,Africa,2013.0,37.20354771,0.988138335
ERS2541058,VNI,04CN-65-043,04CN-65-043,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624092,Uganda,Africa,2013.0,153.7670479,0.992419431
ERS2541071,VNI,04CN-65-044,04CN-65-044,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624468,Uganda,Africa,2013.0,42.51020833,0.987780602
ERS2541007,VNI,04CN-65-045,04CN-65-045,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624196,Uganda,Africa,2013.0,33.33470771,0.999392151
ERS2541062,VNI,04CN-65-046,04CN-65-046,Cryptococcus neoformans var. grubii H99,VNIa-outlier,Clinical,Ashton,positive,ERR2624504,Uganda,Africa,2013.0,41.22677922,0.98457657
ERS2541013,VNI,04CN-65-047,04CN-65-047,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624367,Uganda,Africa,2013.0,64.37993583,0.994917102
ERS2541047,VNI,04CN-65-049,04CN-65-049,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624210,Uganda,Africa,2013.0,62.05170468,0.990506264
ERS2541325,VNI,04CN-65-051,04CN-65-051,Cryptococcus gattii WM276,,Clinical,Ashton,positive,ERR2624462,Uganda,Africa,2013.0,44.91401078,0.616337518
ERS2540942,VNI,04CN-65-054,04CN-65-054,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624172,Uganda,Africa,2013.0,104.7391986,0.991218077
ERS2541304,VNI,04CN-65-056,04CN-65-056,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624219,Uganda,Africa,,61.50942998,0.991405942
ERS2541023,VNI,04CN-65-059,04CN-65-059,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624141,Uganda,Africa,2013.0,56.77958126,0.99007924
ERS2541056,VNI,04CN-65-062,04CN-65-062,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624337,Uganda,Africa,2013.0,45.89574136,0.993197042
ERS2541053,VNI,04CN-65-064,04CN-65-064,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624458,Uganda,Africa,2013.0,46.90385546,0.989099206
ERS2541309,VNI,04CN-65-070,04CN-65-070,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624212,Uganda,Africa,2013.0,53.12020035,0.988337528
ERS2540938,VNI,04CN-65-071,04CN-65-071,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624189,Uganda,Africa,2013.0,48.2518959,0.989094442
ERS2540945,VNI,04CN-65-072,04CN-65-072,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR2624432,Uganda,Africa,2013.0,54.0415131,0.990783801
ERS2540943,VNI,04CN-65-073,04CN-65-073,Cryptococcus neoformans var. grubii H99,VNIa-Y,Clinical,Ashton,positive,ERR2624202,Uganda,Africa,2013.0,43.09886422,0.987172118
ERS2541002,VNI,04CN-65-074,04CN-65-074,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624181,Uganda,Africa,,49.55331296,0.993829294
ERS2541310,VNI,04CN-65-080,04CN-65-080,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,negative,ERR2624147,Uganda,Africa,,42.67799176,0.987464179
ERS2541059,VNI,04CN-65-085,04CN-65-085,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624323,Uganda,Africa,2014.0,39.62800317,0.989269127
ERS2541311,VNI,04CN-65-086,04CN-65-086,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624205,Uganda,Africa,2014.0,58.10252789,0.986435585
ERS2541316,VNI,04CN-65-087,04CN-65-087,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624097,Uganda,Africa,2014.0,44.08270674,0.993371197
ERS2541043,VNI,04CN-65-089,04CN-65-089,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624329,Uganda,Africa,2014.0,66.23293987,0.990327662
ERS2541012,VNI,04CN-65-091,04CN-65-091,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624387,Uganda,Africa,2014.0,41.80176599,0.989011335
ERS2540927,VNI,04CN-65-095,04CN-65-095,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624095,Uganda,Africa,2014.0,52.77766788,0.989510827
ERS2541014,VNI,04CN-65-096,04CN-65-096,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624275,Uganda,Africa,2014.0,62.7494154,0.999577899
ERS2541003,VNI,04CN-65-098,04CN-65-098,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624418,Uganda,Africa,2014.0,54.39969334,0.989869883
ERS2541333,VNI,04CN-65-100,04CN-65-100,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624382,Uganda,Africa,2014.0,53.56061647,0.987997052
ERS2541324,VNI,04CN-65-102,04CN-65-102,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624315,Uganda,Africa,2014.0,42.87334712,0.986918136
ERS2540935,VNI,04CN-65-103,04CN-65-103,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624334,Uganda,Africa,2014.0,41.67154716,0.989288977
ERS2540953,VNI,04CN-65-104,04CN-65-104,Cryptococcus gattii WM276,,Clinical,Ashton,positive,ERR2624451,Uganda,Africa,2014.0,18.44473433,0.596167378
ERS2540950,VNI,04CN-65-106,04CN-65-106,Cryptococcus neoformans var. grubii H99,VNII,Clinical,Ashton,positive,ERR2624139,Uganda,Africa,,43.27427447,0.965696978
ERS2540959,VNI,04CN-65-108,04CN-65-108,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624349,Uganda,Africa,2014.0,44.71459193,0.989272356
ERS2540992,VNI,04CN-65-125,04CN-65-125,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624183,Uganda,Africa,2014.0,39.30766728,0.994221699
ERS2541055,VNI,04CN-65-127,04CN-65-127,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624281,Uganda,Africa,2014.0,37.95802589,0.989318568
ERS2540925,VNI,04CN-65-129,04CN-65-129,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,,Clinical,Ashton,positive,ERR2624242,Uganda,Africa,2014.0,32.82144092,0.97489428
ERS2541019,VNI,04CN-65-130,04CN-65-130,Cryptococcus neoformans var. grubii H99,VNIa-X,Clinical,Ashton,positive,ERR2624350,Uganda,Africa,2014.0,47.75994973,0.984398233
ERS2541072,VNI,04CN-65-131,04CN-65-131,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624264,Uganda,Africa,,31.38908887,0.987098856
ERS2541077,VNI,04CN-65-132,04CN-65-132,Cryptococcus neoformans var. grubii H99,VNIb,Clinical,Ashton,positive,ERR2624477,Uganda,Africa,2014.0,60.55988904,0.995224812
ERS2540931,VNI,04CN-65-133,04CN-65-133,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,,Clinical,Ashton,positive,ERR2624415,Uganda,Africa,2014.0,44.42821647,0.982899809
ERS2540981,VNI,04CN-65-134,04CN-65-134,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624267,Uganda,Africa,2014.0,42.6718564,0.989261504
ERS2541035,VNI,04CN-65-135,04CN-65-135,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624380,Uganda,Africa,2014.0,38.94715972,0.988440381
ERS2540947,VNI,04CN-65-137,04CN-65-137,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624357,Uganda,Africa,2014.0,42.74309891,0.988786838
ERS2541036,VNI,04CN-65-141,04CN-65-141,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624456,Uganda,Africa,2014.0,59.08672644,0.98957239
ERS2540978,VNI,04CN-65-142,04CN-65-142,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624215,Uganda,Africa,2014.0,38.66619197,0.98932312
ERS2541049,VNI,04CN-65-161,04CN-65-161,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR2624145,Uganda,Africa,,45.41327671,0.991485609
ERS2540928,VNI,04CN-65-163,04CN-65-163,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624344,Uganda,Africa,2014.0,42.40845149,0.989579589
